"DATASET","SERIES_CODE","OBS_MEASURE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:ESG_FINANCE(2.0.3)","GRC.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","","1.778264942","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","QAT.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","","","","","","5"
"IMF.STA:ESG_FINANCE(2.0.3)","CAN.SSBI_USD.A","OBS_VALUE","","","","","","","","","","","","","0.35161744","",""
"IMF.STA:ESG_FINANCE(2.0.3)","ECU.SSBI_USD.A","OBS_VALUE","","","","","","","","","","","0.8","","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","TUR.SUBI_USD.A","OBS_VALUE","","","","","","","0.3","0.3","","","1.5","3.9","","4.197","7.088280241"
"IMF.STA:ESG_FINANCE(2.0.3)","RUS.SBI_USD.A","OBS_VALUE","","","","","","","","","","","","","0.226000192","0.169500144",""
"IMF.STA:ESG_FINANCE(2.0.3)","EGY.GBI_USD.A","OBS_VALUE","","","","","","","","","","","1.5","","","",""
"IMF.STA:ESG_FINANCE(2.0.3)","ROU.SGBIC_USD.A","OBS_VALUE","","","","","","","","","","","","","","","8.604232002"
"IMF.STA:ESG_FINANCE(2.0.3)","DEU.SBI_USD.A","OBS_VALUE","","","","","","","0.104970345","0.522897689","0.522897689","1.317702175","2.32166574","4.687843624","6.216958418","3.850934323","5.908743887"
"IMF.STA:ESG_FINANCE(2.0.3)","GBR.SULBI_USD.A","OBS_VALUE","","","","","","","","","","","0.627477226","8.531488608","1.680913158","0.378897912","0.847094257"
"IMF.STA:ESG_FINANCE(2.0.3)","TGO.SBI_USD.A","OBS_VALUE","","","","","","","","","","","0.28663446","0.70737869","0.469175701","",""
"IMF.STA:ESG_FINANCE(2.0.3)","HRV.GBI_USD.A","OBS_VALUE","","","","","","","","","","","","","","0.31896759","0.418318151"
