"Economy","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Croatia","$1.85446e+008","$1.19276e+008","$1.2056e+008","$1.42998e+008","$2.69039e+008","$3.9744e+008","$2.46096e+008","$2.6643e+008","-","-","-","-","$1.81787e+008","$1.95824e+008","$2.8472e+008","$3.16679e+008","$3.52181e+008","$3.31906e+008","$4.9298e+008","$3.91599e+008","$3.55175e+008","$2.93741e+008","$3.84833e+008","$4.23189e+008","$3.26974e+008","$3.70404e+008","$3.74422e+008","$4.0266e+008","$4.12111e+008","$4.20988e+008","$3.77833e+008","$4.73513e+008","$4.24706e+008","$5.21195e+008","-","-"
"Cuba","$8.27343e+007","$5.84286e+007","$3.81429e+007","-","-","$2.2196e+007","$3.2831e+007","$9.39e+007","$7.44e+007","$1.386e+008","$1.164e+008","$1.437e+008","$1.11e+008","$7.6e+007","$7e+007","$9.363e+007","-","$7.3935e+007","$1.14297e+008","$1.2104e+008","$6.713e+007","$7.63322e+007","$8.035e+007","$8.54596e+007","$1.06994e+008","$1.78781e+008","$1.941e+008","$2.179e+008","$2.659e+008","-","-","-","-","-","-","-"
"Cyprus","$3.81445e+007","$3.03427e+007","$4.30501e+007","$5.6008e+007","$7.35677e+007","$5.13136e+007","$7.2353e+007","$6.70543e+007","$8.88329e+007","$7.85185e+007","$1.09327e+008","$9.30797e+007","$9.91803e+007","$1.09615e+008","$9.29362e+007","-","$8.38302e+007","$1.48264e+008","$1.60396e+008","$1.57283e+008","$1.64279e+008","$9.0905e+007","$1.31454e+008","$7.95697e+007","-","-","$7.96405e+007","$8.25204e+007","$7.93901e+007","$1.13638e+008","$1.04747e+008","$1.38371e+008","$1.8173e+008","$1.22958e+008","-","-"
"Czech Republic","-","$8.8374e+007","$1.48172e+008","$2.94511e+008","$4.01077e+008","$7.5358e+008","$1.06352e+009","$1.42088e+009","$1.16413e+009","$8.49378e+008","$1.20285e+009","$1.22432e+009","$8.1069e+008","$1.50744e+009","$4.74927e+008","$5.73351e+008","$6.27158e+008","$7.95962e+008","$8.71552e+008","$7.63049e+008","$7.83841e+008","$8.15894e+008","$7.59903e+008","$7.27556e+008","$1.06239e+009","$5.9233e+008","$6.95455e+008","$6.59147e+008","$7.47213e+008","$5.98537e+008","$7.3066e+008","$8.11655e+008","$7.35091e+008","$8.78075e+008","$1.00776e+009","-"
"Côte d'Ivoire","$6.81325e+007","$1.60223e+008","$6.60395e+007","$9.34948e+007","$4.79836e+007","$4.41591e+007","$5.57482e+007","$5.10271e+007","$5.97613e+007","$1.50775e+008","$8.59575e+007","$1.12862e+008","$1.22852e+008","$9.41309e+007","$9.51605e+007","$2.36981e+008","$3.8249e+008","-","-","$3.02095e+008","$2.88369e+008","$2.79334e+008","$2.97452e+008","$2.63505e+008","$2.6318e+008","$1.97395e+008","$4.72677e+008","$3.14574e+008","$3.14346e+008","$2.50944e+008","$2.93571e+008","$3.35023e+008","$4.46041e+008","$4.02976e+008","$4.20922e+008","-"
"Dem. Rep. of the Congo","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","$4.95272e+008","$6.07999e+008","$4.74331e+008","$2.0921e+008","$1.20853e+008","$4.02631e+008","-","-","$3.02151e+008","$1.04747e+009","$6.00988e+008","$1.63469e+009","-","$3.32935e+008","$1.3898e+008","$2.30723e+008","-","$4.58213e+008","-","-"
"Denmark","$5.25699e+008","$4.39849e+008","$4.40689e+008","$3.7473e+008","$4.70553e+008","$5.49407e+008","$8.16735e+008","$9.23007e+008","$1.01137e+009","$9.8553e+008","$1.11572e+009","$1.32404e+009","$9.69221e+008","$8.50835e+008","$9.55259e+008","$1.14626e+009","$1.23714e+009","$1.67919e+009","$1.88834e+009","$1.55441e+009","$1.31133e+009","$1.24369e+009","$1.1306e+009","$1.09526e+009","$1.11486e+009","$9.82287e+008","$9.82251e+008","$1.10421e+009","$1.11171e+009","$1.29511e+009","$1.56732e+009","$1.71286e+009","$1.57641e+009","$1.53032e+009","-","-"
"Djibouti","$9.7145e+006","$9.408e+006","$8.17016e+006","-","$3.78631e+006","$4.23138e+006","$2.1607e+006","$2.08754e+006","$2.11006e+006","$2.14945e+006","$2.06656e+006","$6.81071e+006","$1.36029e+006","$5.76066e+006","$7.51987e+006","$8.72007e+006","$4.28714e+006","$6.122e+006","$3.89489e+006","$8.63463e+006","-","-","-","-","-","-","-","$4.29952e+007","$8.48568e+006","-","$2.77485e+007","$2.06168e+007","$1.52591e+007","$2.87562e+007","-","-"
"Dominica","-","-","$5.18519e+006","-","-","-","-","-","-","-","-","-","-","-","-","$5.92593e+006","$7.77778e+006","$6.66667e+006","$8.88889e+006","$5.92593e+006","$6.2963e+006","$4.44444e+006","$4.81481e+006","-","-","$7.95119e+006","$1.36026e+007","$5.82913e+006","-","-","-","-","-","-","-","-"
"Dominican Rep.","-","-","-","-","-","-","-","-","-","-","$5.08222e+008","$2.8814e+008","$4.21209e+008","$2.69887e+008","$2.38794e+008","$2.54665e+008","$3.41691e+008","$1.62347e+008","$2.81102e+008","$1.95882e+008","$1.93208e+008","$2.99249e+008","$3.11694e+008","$2.97604e+008","$2.65864e+008","$2.71399e+008","$3.98919e+008","$2.57751e+008","$3.25024e+008","$3.15231e+008","$2.26259e+008","$3.69297e+008","$2.54627e+008","$2.95087e+008","$3.06026e+008","-"
